date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,unique_beneficiaries
01/01/2021,org_2690,org_5034,Provide monthly food baskets,food distribution,Chin,Paletwa,8613,No (beneficiary is also receiving other assistant)
01/01/2021,org_2690,org_8777,Provide monthly food baskets,food distribution,Chin,Paletwa,860,Yes
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Bhamo,2,Yes
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Momauk,2,Yes
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Momauk,6,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Myitkyina,12,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Myitkyina,16,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Myitkyina,22,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Myitkyina,22,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Mogaung,17,Yes
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Waingmaw,43,Yes
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Myitkyina,2,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Waingmaw,2,Yes
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Waingmaw,1,Yes
01/01/2021,org_9632,org_9632,Provide support for income generation,IGA and small grants,Kachin,Waingmaw,1,Yes
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Myitkyina,5,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Myitkyina,2,No (beneficiary is also receiving other assistant)
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Waingmaw,3,Yes
01/01/2021,org_9632,org_9632,Provide technical training,vocational training,Kachin,Myitkyina,2,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,25,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,58,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,128,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,48,Yes
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,25,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,19,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,29,No (beneficiary is also receiving other assistant)
01/01/2021,org_2625,org_6203,Provide technical training,vocational training,Kachin,Waingmaw,46,No (beneficiary is also receiving other assistant)
